iter (20241228_214528),psnr
1000,16.671156002452857
2000,17.513773980873292
3000,18.81011672346485
4000,18.716757046573925
5000,19.612429707217395
6000,21.777642085003208
7000,19.043863908098057
8000,19.405447501014308
9000,19.883653574494815
10000,18.58098012464097
11000,20.43433161880172
12000,20.123913150191296
13000,18.915616254949427
14000,20.658928697109612
15000,20.13768142133094
16000,23.075635213292056
17000,21.347900934200485
18000,18.073538592608763
19000,15.895294918756408
20000,22.14942816746026
21000,21.1413951158828
22000,20.724304988601567
23000,19.16667331505296
24000,17.921559661662233
25000,19.198386734482355
26000,19.917761835249372
27000,19.64015671190236
28000,20.256502480023972
29000,20.419219959489425
30000,20.210745395828006
31000,17.01661616742774
32000,20.629323796237113
33000,20.631693195267804
34000,19.73378082952775
35000,19.543631906393625
36000,20.929057158834276
37000,19.149426088101553
38000,19.710178142500336
39000,20.856842429527855
40000,20.46624242472385
41000,20.753489922843997
42000,19.03492476587444
43000,19.343093594268232
44000,19.18418945978488
45000,20.028605561342772
46000,20.42191250524261
47000,21.318217974521886
48000,18.188591996015372
49000,22.15650243770636
50000,19.034379129419733
51000,19.972389026348125
52000,21.15218767872494
53000,21.57923550167561
54000,19.071632817033052
55000,19.292406256986872
56000,19.680782324602024
57000,19.641650099991452
58000,20.434678763161617
59000,21.33658394819723
60000,19.688559097428588
61000,20.250912521771667
62000,19.2531353976934
63000,19.474422992648776
64000,19.80031309226467
65000,18.972993098408917
66000,20.14726656127983
67000,19.949095223991115
68000,20.609299559249965
69000,19.59823518024133
70000,20.804985747683027
71000,19.371104695896637
72000,20.40378443781268
73000,19.048260709325408
74000,19.625080845664925
75000,19.52849926193744
76000,20.55494382461646
77000,22.29682460307415
78000,21.633084469563123
79000,19.228473283375255
80000,19.825575468859892
81000,20.493657664668387
82000,19.758304150290545
83000,20.33274226866003
84000,20.42173059169623
85000,20.913215143117146
86000,20.412349243161607
87000,19.972382430065363
88000,19.979855907106177
89000,20.442608465400948
90000,20.491121596906073
91000,20.33012085629273
92000,20.95047917954709
93000,19.503836451441906
94000,20.803156408094086
95000,21.31548773334781
96000,22.132177092369687
97000,21.107788889634197
98000,18.793443994305395
99000,20.71713816615972
100000,20.977850370692305
101000,20.445942734111938
102000,19.487397884619053
103000,19.716504515272796
104000,20.66225362545613
105000,20.053600361830185
106000,21.413908342356894
107000,20.64944395989997
108000,20.241035626149657
109000,19.495746551460194
110000,20.47572346513488
111000,19.942657002299136
112000,19.528028652486796
113000,20.528198105581378
114000,19.967744755275252
115000,21.017151129655453
116000,20.74035100191394
117000,20.13639569222918
118000,21.067517512583795
119000,21.67110285632665
120000,21.482394492935853
121000,19.77628227876085
122000,20.928049649612053
123000,20.51790709848185
124000,20.051715192701536
125000,20.12615966787714
126000,19.21147196766817
127000,19.972886949174786
128000,20.5301880697416
129000,20.61116053000829
130000,19.953981254124482
131000,21.04793723234471
132000,19.774666471389484
133000,19.7206399417258
134000,19.938079363599638
135000,21.031488457128976
136000,21.292238649212962
137000,20.08340012200373
138000,20.049171198097497
139000,20.111947392264995
140000,19.56656116745517
141000,21.031406239586442
142000,20.408131754381415
143000,20.43608161278594
144000,20.833510295523784
145000,20.721641565150083
146000,21.02400868877274
147000,20.65578793200021
148000,21.03865679708144
149000,21.86080590278581
150000,20.977071174273156
151000,20.68635797134267
152000,19.8698634747179
153000,20.988517337635503
154000,21.070302741349924
155000,19.7484567826731
156000,20.550671039063445
157000,20.91089928597552
158000,20.31007222937503
159000,20.609607124069427
160000,19.870837338817797
161000,20.557244986136894
162000,20.695624844941893
163000,20.641437692077194
164000,20.343452886998747
165000,20.244521610250857
166000,20.341686138951637
167000,20.584450692543573
168000,20.267092123181055
169000,20.63135356042424
170000,20.36138600745694
171000,21.080744709193983
172000,20.36565256023778
173000,20.318914323647572
174000,20.425324357710362
175000,20.634174661879662
176000,20.74936360332233
177000,20.204727811185272
178000,20.787131784610985
179000,20.16306875944298
180000,20.457211091782273
181000,20.421782067398453
182000,20.323129177104118
183000,20.703548702543845
184000,20.832250219476567
185000,20.690284071525433
186000,20.58219921190594
187000,21.029856753208414
188000,20.562904669542633
189000,20.697182023932054
190000,20.254657293611018
191000,20.56313617271865
192000,20.814247607148726
193000,20.41619957331595
194000,20.43636842188506
195000,20.577389753215492
196000,20.105349645699256
197000,20.48642516910695
198000,20.54091397907259
199000,20.234097566854167
200000,20.50095035542888
